date,unix,open,high,low,close,volume
2023-05-01 15:00:00,1682953200000,1843.11,1843.66,1826.37,1833.5,62148.43365359
2023-05-01 16:00:00,1682956800000,1833.66,1840.94,1820.72,1839.68,46297.41297499
2023-05-01 17:00:00,1682960400000,1839.68,1842.39,1832.67,1839.66,16412.34856109
2023-05-01 18:00:00,1682964000000,1839.66,1840.26,1830.24,1832.75,11985.16749303
2023-05-01 19:00:00,1682967600000,1832.75,1833.25,1807.55,1812.62,72336.86232767
2023-05-01 20:00:00,1682971200000,1812.62,1822.13,1807.07,1807.25,28734.64502834
2023-05-01 21:00:00,1682974800000,1807.25,1829.15,1806.0,1824.32,15434.80104289
2023-05-01 22:00:00,1682978400000,1824.32,1833.29,1821.06,1825.81,19997.73133365
2023-05-01 23:00:00,1682982000000,1825.81,1832.48,1825.81,1830.79,10692.08067565
2023-05-02 00:00:00,1682985600000,1830.79,1836.99,1826.38,1832.9,15934.4669133
2023-05-02 01:00:00,1682989200000,1832.9,1834.36,1824.3,1826.15,15373.55763768
2023-05-02 02:00:00,1682992800000,1826.16,1829.86,1822.34,1828.73,9488.06721728
2023-05-02 03:00:00,1682996400000,1828.73,1830.5,1823.94,1830.49,8638.71263736
2023-05-02 04:00:00,1683000000000,1830.5,1831.54,1825.0,1825.49,6526.31865108
2023-05-02 05:00:00,1683003600000,1825.49,1829.77,1824.31,1829.1,7665.75686869
2023-05-02 06:00:00,1683007200000,1829.1,1830.11,1826.09,1828.55,5284.95435825
2023-05-02 07:00:00,1683010800000,1828.55,1841.35,1828.11,1835.42,17830.9899688
2023-05-02 08:00:00,1683014400000,1835.42,1839.12,1830.21,1832.16,9872.59949084
2023-05-02 09:00:00,1683018000000,1832.17,1832.6,1826.06,1828.5,13996.58515695
2023-05-02 10:00:00,1683021600000,1828.5,1831.43,1827.38,1829.87,6554.76432808
2023-05-02 11:00:00,1683025200000,1829.87,1834.38,1829.52,1833.08,7964.80555953
