,date,account_value,daily_return,datadate
82,2024-01-05,1110.404352377491,-0.0005608414011718,2024-01-05
83,2024-01-08,1139.2850794760125,0.0260091983939767,2024-01-08
84,2024-01-09,1126.017563448769,-0.0116454751021102,2024-01-09
85,2024-01-10,1114.9413968296276,-0.0098365842404954,2024-01-10
86,2024-01-11,1114.8298914286668,-0.0001000101003316,2024-01-11
87,2024-01-12,1114.8298914286668,0.0,2024-01-12
88,2024-01-16,1100.9883218625246,-0.0124158579461877,2024-01-16
89,2024-01-17,1102.944544499317,0.0017767878168619,2024-01-17
90,2024-01-18,1102.8342390349842,-0.0001000099822635,2024-01-18
91,2024-01-19,1119.8525832403714,0.0154314615950614,2024-01-19
92,2024-01-22,1119.7405979820471,-9.9999999999989e-05,2024-01-22
93,2024-01-23,1118.7261634093666,-0.0009059549814564,2024-01-23
94,2024-01-24,1102.806746742482,-0.0142299493723911,2024-01-24
95,2024-01-25,1102.6964660678077,-9.9999999999989e-05,2024-01-25
96,2024-01-26,1102.6964660678077,0.0,2024-01-26
97,2024-01-29,1098.6324121231496,-0.0036855599611653,2024-01-29
98,2024-01-30,1077.4883221357727,-0.0192458275889705,2024-01-30
99,2024-01-31,1053.1297301754955,-0.0226068268767815,2024-01-31
100,2024-02-01,1052.9190934545773,-0.0002000102312971,2024-02-01
101,2024-02-02,1046.305512105621,-0.0062811866458397,2024-02-02
102,2024-02-05,1031.9253670826442,-0.0137437343649632,2024-02-05
103,2024-02-06,1030.2659403520015,-0.001608087933078,2024-02-06
104,2024-02-07,964.2222366027588,-0.0641035495424396,2024-02-07
105,2024-02-08,960.897799516112,-0.0034477913498031,2024-02-08
106,2024-02-09,975.6474501665904,0.0153498641144833,2024-02-09
107,2024-02-12,986.5441899934224,0.0111687268028746,2024-02-12
108,2024-02-13,979.440326415926,-0.0072007555764366,2024-02-13
109,2024-02-14,974.534019090564,-0.0050092968331368,2024-02-14
110,2024-02-15,972.9992010727244,-0.0015749250285505,2024-02-15
111,2024-02-16,964.7956573173886,-0.0084311926939832,2024-02-16
112,2024-02-20,961.4162365818077,-0.0035027321173662,2024-02-20
113,2024-02-21,961.0543425942768,-0.0003764175949609,2024-02-21
114,2024-02-22,966.8864884792896,0.0060684871047658,2024-02-22
115,2024-02-23,980.4496088185376,0.0140276242359949,2024-02-23
116,2024-02-26,980.3515542425286,-0.000100009806855,2024-02-26
117,2024-02-27,980.3515542425286,0.0,2024-02-27
118,2024-02-28,976.628038949698,-0.0037981428975317,2024-02-28
119,2024-02-29,982.1661944869498,0.0056706906994066,2024-02-29
120,2024-03-01,976.0474803922272,-0.0062298154111471,2024-03-01
121,2024-03-04,1001.0547959736978,0.0256210031620811,2024-03-04
122,2024-03-05,997.1873221319588,-0.0038633987442987,2024-03-05
123,2024-03-06,997.0875933882214,-0.0001000100397626,2024-03-06
124,2024-03-07,991.5133393359832,-0.0055905359661493,2024-03-07
125,2024-03-08,991.4141880020496,-9.9999999999989e-05,2024-03-08
126,2024-03-11,991.4141880020496,0.0,2024-03-11
127,2024-03-12,1022.5958017635965,0.0314516517303282,2024-03-12
128,2024-03-13,1022.49354218342,-9.9999999999989e-05,2024-03-13
129,2024-03-14,1005.394729801506,-0.0167226605122624,2024-03-14
130,2024-03-15,995.3087392309794,-0.0100318713352692,2024-03-15
131,2024-03-18,1002.0250829327186,0.0067480003309612,2024-03-18
132,2024-03-19,1010.44885240766,0.0084067451188813,2024-03-19
133,2024-03-20,1013.6895212683228,0.0032071577427605,2024-03-20
134,2024-03-21,1013.5881422949496,-0.0001000098859127,2024-03-21
135,2024-03-22,1011.4548870118964,-0.0021046569055388,2024-03-22
136,2024-03-25,997.3822665250956,-0.0139132458278737,2024-03-25
137,2024-03-26,1000.5564717042162,0.0031825362106945,2024-03-26
138,2024-03-27,1012.5635271463508,0.0120003775715762,2024-03-27
139,2024-03-28,1012.462260787074,-0.0001000098824043,2024-03-28
140,2024-04-01,1012.462260787074,0.0,2024-04-01
141,2024-04-02,1012.462260787074,0.0,2024-04-02
142,2024-04-03,1012.462260787074,0.0,2024-04-03
143,2024-04-04,1012.462260787074,0.0,2024-04-04
144,2024-04-05,1016.9184649615488,0.0044013533610729,2024-04-05
145,2024-04-08,1016.8167731150528,-9.9999999999989e-05,2024-04-08
146,2024-04-09,1016.8167731150528,0.0,2024-04-09
147,2024-04-10,1005.3896307021886,-0.0112381529445632,2024-04-10
148,2024-04-11,1005.2890917391184,-9.9999999999989e-05,2024-04-11
149,2024-04-12,1013.8599785314212,0.0085257930904985,2024-04-12
150,2024-04-15,1002.7009529937924,-0.0110064760163359,2024-04-15
151,2024-04-16,985.5431714856412,-0.0171115639781958,2024-04-16
152,2024-04-17,985.4446070298928,-0.0001000102873218,2024-04-17
153,2024-04-18,967.2344731731488,-0.0184791044842478,2024-04-18
154,2024-04-19,954.9128767928088,-0.0127389963055363,2024-04-19
155,2024-04-22,965.3022176333392,0.0108798834878258,2024-04-22
156,2024-04-23,968.7181488973154,0.003538716892572,2024-04-23
157,2024-04-24,972.065471300496,0.0034554141542522,2024-04-24
158,2024-04-25,963.039110484578,-0.0092857539768818,2024-04-25
159,2024-04-26,962.942796851906,-0.0001000100947338,2024-04-26
160,2024-04-29,964.4392548998622,0.0015540466711505,2024-04-29
161,2024-04-30,955.7327308539348,-0.0090275504669616,2024-04-30
162,2024-05-01,968.284762276733,0.013133411693019,2024-05-01
163,2024-05-02,989.4220868553758,0.0218296573509455,2024-05-02
164,2024-05-03,1011.157224782464,0.0219675083221235,2024-05-03
165,2024-05-06,1028.265982394828,0.0169199776187569,2024-05-06
166,2024-05-07,1026.6578334945466,-0.0015639425283096,2024-05-07
167,2024-05-08,1035.9265405428584,0.0090280390855861,2024-05-08
168,2024-05-09,1054.4262037000212,0.0178580839790709,2024-05-09
169,2024-05-10,1068.1471366285225,0.0130127010125069,2024-05-10
170,2024-05-13,1068.040311369561,-0.0001000098725144,2024-05-13
171,2024-05-14,1068.040311369561,0.0,2024-05-14
172,2024-05-15,1068.040311369561,0.0,2024-05-15
173,2024-05-16,1068.608959613024,0.0005324220794,2024-05-16
174,2024-05-17,1064.637532489393,-0.0037164456538612,2024-05-17
175,2024-05-20,1064.5310580500543,-0.0001000100373031,2024-05-20
176,2024-05-21,1065.473657592166,0.0008854598792433,2024-05-21
177,2024-05-22,1076.381817387,0.0102378502904378,2024-05-22
178,2024-05-23,1057.5437969757634,-0.0175012436172206,2024-05-23
179,2024-05-24,1057.4380319413292,-0.0001000100749837,2024-05-24
180,2024-05-28,1057.4380319413292,0.0,2024-05-28
181,2024-05-29,1059.001780060775,0.0014788082821033,2024-05-29
182,2024-05-30,1064.5669795847898,0.0052551370817293,2024-05-30
183,2024-05-31,1081.5056942053266,0.0159113657903828,2024-05-31
184,2024-06-03,1091.3017949441266,0.009057835563222,2024-06-03
185,2024-06-04,1094.582620965134,0.0030063416336407,2024-06-04
186,2024-06-05,1094.473151788938,-0.0001000099710148,2024-06-05
187,2024-06-06,1088.3467960770915,-0.0055975385982129,2024-06-06
188,2024-06-07,1089.8519404628605,0.0013829639515585,2024-06-07
189,2024-06-10,1068.7678125612863,-0.0193458644415677,2024-06-10
190,2024-06-11,1146.420778072813,0.0726565345614518,2024-06-11
191,2024-06-12,1179.1867537341927,0.0285811076422226,2024-06-12
192,2024-06-13,1179.6860839285848,0.0004234530220177,2024-06-13
193,2024-06-14,1180.0779424668422,0.0003321718748705,2024-06-14
194,2024-06-17,1179.959922874555,-0.0001000099976786,2024-06-17
195,2024-06-18,1179.959922874555,0.0,2024-06-18
196,2024-06-20,1184.472638788748,0.0038244654133667,2024-06-20
197,2024-06-21,1171.8658444626394,-0.010643381631002,2024-06-21
198,2024-06-24,1171.3836271488076,-0.000411495322703,2024-06-24
199,2024-06-25,1155.0203246827846,-0.0139692087944338,2024-06-25
200,2024-06-26,1157.8881556242227,0.0024829268196866,2024-06-26
201,2024-06-27,1160.876489344206,0.0025808483362301,2024-06-27
202,2024-06-28,1162.1120114040084,0.0010643010442052,2024-06-28
203,2024-07-01,1195.698968210269,0.0289016518861056,2024-07-01
204,2024-07-02,1215.1189201432276,0.0162415059720479,2024-07-02
205,2024-07-03,1214.9973966289322,-0.0001000095647273,2024-07-03
206,2024-07-05,1216.880815797159,0.0015501425545867,2024-07-05
207,2024-07-08,1216.759127715579,-0.0001000000000001,2024-07-08
208,2024-07-09,1216.759127715579,0.0,2024-07-09
209,2024-07-10,1216.759127715579,0.0,2024-07-10
210,2024-07-11,1229.5726932593643,0.0105308974076425,2024-07-11
211,2024-07-12,1229.4497359900386,-9.9999999999989e-05,2024-07-12
212,2024-07-15,1229.6630054809302,0.0001734674339655,2024-07-15
213,2024-07-16,1229.540039180382,-9.9999999999989e-05,2024-07-16
214,2024-07-17,1229.540039180382,0.0,2024-07-17
215,2024-07-18,1204.1712131710842,-0.0206327774622198,2024-07-18
216,2024-07-19,1204.8695276619803,0.0005799129586041,2024-07-19
217,2024-07-22,1221.647529702742,0.013925160903786,2024-07-22
218,2024-07-23,1211.7197382448887,-0.0081265595979791,2024-07-23
219,2024-07-24,1224.2832645048638,0.0103683433251426,2024-07-24
220,2024-07-25,1218.1568455637714,-0.0050040861610324,2024-07-25
221,2024-07-26,1220.7895768944963,0.0021612416663032,2024-07-26
222,2024-07-29,1212.4773956933132,-0.0068088566273052,2024-07-29
223,2024-07-30,1219.9432848210488,0.0061575491256613,2024-07-30
224,2024-07-31,1232.6472854913548,0.0104135994093934,2024-07-31
225,2024-08-01,1211.755071887185,-0.0169490606518811,2024-08-01
226,2024-08-02,1220.07993687233,0.0068700888308885,2024-08-02
227,2024-08-05,1161.306410401586,-0.0481718653790912,2024-08-05
228,2024-08-06,1174.392052308899,0.0112680355417895,2024-08-06
229,2024-08-07,1115.6576749488052,-0.0500125807600791,2024-08-07
230,2024-08-08,1159.1817887551151,0.0390120686511723,2024-08-08
231,2024-08-09,1151.969406801271,-0.0062219593370165,2024-08-09
232,2024-08-12,1142.845374173133,-0.0079203775501929,2024-08-12
233,2024-08-13,1142.2683964137357,-0.0005048607383258,2024-08-13
234,2024-08-14,1142.1541581444883,-0.0001000100060597,2024-08-14
235,2024-08-15,1147.0103628574973,0.0042517944520712,2024-08-15
236,2024-08-16,1168.7593935549166,0.0189614945092884,2024-08-16
237,2024-08-19,1181.048416512993,0.0105145875411516,2024-08-19
238,2024-08-20,1180.9303002012382,-0.0001000097117979,2024-08-20
239,2024-08-21,1182.968635592256,0.0017260420794271,2024-08-21
240,2024-08-22,1172.9620576892653,-0.0084588700003707,2024-08-22
241,2024-08-23,1172.84474965381,-0.0001000100853104,2024-08-23
242,2024-08-26,1165.5227915668002,-0.0062429047742005,2024-08-26
243,2024-08-27,1166.057773222965,0.0004590057440623,2024-08-27
244,2024-08-28,1175.1884896439278,0.0078304151223362,2024-08-28
245,2024-08-29,1180.6099273509983,0.0046132494955879,2024-08-29
246,2024-08-30,1176.315401274815,-0.0036375486743698,2024-08-30
247,2024-09-03,1144.3102683330646,-0.0272079519719501,2024-09-03
248,2024-09-04,1144.5314596493854,0.0001932966280577,2024-09-04
249,2024-09-05,1122.7905647677414,-0.0189954541645399,2024-09-05
250,2024-09-06,1109.6353498391147,-0.011716534981168,2024-09-06
251,2024-09-09,1109.8656037361295,0.0002075041111913,2024-09-09
252,2024-09-10,1105.8459367421883,-0.0036217601306048,2024-09-10
253,2024-09-11,1109.1545117007909,0.0029918950268512,2024-09-11
254,2024-09-12,1109.4233956050275,0.0002424224049943,2024-09-12
255,2024-09-13,1117.457700009537,0.007241873964743,2024-09-13
256,2024-09-16,1117.3459431799663,-0.0001000098970808,2024-09-16
257,2024-09-17,1109.036330456237,-0.0074369202971108,2024-09-17
258,2024-09-18,1109.4363088048658,0.0003606539638465,2024-09-18
259,2024-09-19,1119.5336010246265,0.0091012815603968,2024-09-19
260,2024-09-20,1124.298967274322,0.0042565638452782,2024-09-20
261,2024-09-23,1128.8329705996014,0.0040327381392792,2024-09-23
262,2024-09-24,1131.013087632625,0.0019313016981294,2024-09-24
263,2024-09-25,1069.0677734125668,-0.0547697589863603,2024-09-25
264,2024-09-26,1090.392683048428,0.0199472008849261,2024-09-26
265,2024-09-27,1090.2836324688635,-0.0001000103735653,2024-09-27
266,2024-09-30,1088.6203714498056,-0.0015255305771137,2024-09-30
267,2024-10-01,1056.6816781017376,-0.0293386879261984,2024-10-01
268,2024-10-02,1059.3445232669485,0.0025200069428612,2024-10-02
269,2024-10-03,1051.678583040911,-0.0072364939428732,2024-10-03
270,2024-10-04,1058.9007151091437,0.0068672426962903,2024-10-04
271,2024-10-07,1051.5791996125286,-0.006914260602667,2024-10-07
272,2024-10-08,1070.7202916821432,0.0182022353396371,2024-10-08
273,2024-10-09,1088.6013216865963,0.0167000010585038,2024-10-09
274,2024-10-10,1083.657053933117,-0.0045418535279925,2024-10-10
275,2024-10-11,1095.5642846199084,0.0109880064394676,2024-10-11
276,2024-10-14,1113.3981390647432,0.0162782364259181,2024-10-14
277,2024-10-15,1125.6741788910988,0.0110257412830485,2024-10-15
278,2024-10-16,1115.708899698417,-0.0088527207779595,2024-10-16
279,2024-10-17,1117.4901033683575,0.0015964770653187,2024-10-17
280,2024-10-18,1131.210396137418,0.012277775639985,2024-10-18
281,2024-10-21,1138.3352842749366,0.0062984641600245,2024-10-21
282,2024-10-22,1145.0864488582502,0.005930734711095,2024-10-22
283,2024-10-23,1120.0996661420927,-0.0218208701544511,2024-10-23
284,2024-10-24,1119.1773817677436,-0.0008233949194232,2024-10-24
285,2024-10-25,1123.2551068346388,0.0036435020340157,2024-10-25
286,2024-10-28,1123.1427698719524,-0.0001000101953713,2024-10-28
287,2024-10-29,1124.3296116748445,0.0010567149918323,2024-10-29
288,2024-10-30,1107.1521912783037,-0.0152779222553361,2024-10-30
